city,colonia,point_kind,lat,lon,bbox_min_lat,bbox_min_lon,bbox_max_lat,bbox_max_lon,bbox_span_lat_deg,bbox_span_lon_deg,n_samples
zap,Jardín Real,bbox_quadrant,20.732923,-103.432316,20.729948,-103.449638,20.74185,-103.426542,0.011902,0.023096,115
zap,Jardín Real,bbox_quadrant,20.738875,-103.443864,20.729948,-103.449638,20.74185,-103.426542,0.011902,0.023096,115
zap,Jardín Real,bbox_quadrant,20.738875,-103.432316,20.729948,-103.449638,20.74185,-103.426542,0.011902,0.023096,115
zap,Puerta de Hierro,centroid,20.712372,-103.416299,20.706267,-103.423346,20.723794,-103.409129,0.017527,0.014217,313
zap,Villa Verona,centroid,20.701891,-103.445272,20.700027,-103.446616,20.702619,-103.442298,0.002592,0.004318,55
zap,Valle Real,centroid,20.724287,-103.442412,20.717686,-103.452964,20.730096,-103.432772,0.012409,0.020192,205
zap,Valle Real,bbox_quadrant,20.720789,-103.447916,20.717686,-103.452964,20.730096,-103.432772,0.012409,0.020192,205
zap,Valle Real,bbox_quadrant,20.720789,-103.43782,20.717686,-103.452964,20.730096,-103.432772,0.012409,0.020192,205
zap,Valle Real,bbox_quadrant,20.726994,-103.447916,20.717686,-103.452964,20.730096,-103.432772,0.012409,0.020192,205
zap,Valle Real,bbox_quadrant,20.726994,-103.43782,20.717686,-103.452964,20.730096,-103.432772,0.012409,0.020192,205
zap,Chapalita Oriente,centroid,20.664746,-103.404998,20.663187,-103.405667,20.665754,-103.403593,0.002566,0.002073,10
zap,Coto Alva 1,centroid,20.791789,-103.42171,20.791448,-103.422781,20.792041,-103.421397,0.000594,0.001383,13
zap,El Centinela,centroid,20.770129,-103.384181,20.76658,-103.386209,20.775034,-103.3824,0.008454,0.003809,34
zap,Soare Acantia I,centroid,20.731422,-103.469564,20.728748,-103.471086,20.734597,-103.468425,0.005848,0.002661,47
zap,Santa Ana Tepetitlán,centroid,20.619552,-103.454942,20.611425,-103.491013,20.627245,-103.440285,0.015821,0.050728,91
zap,Santa Ana Tepetitlán,bbox_quadrant,20.61538,-103.478331,20.611425,-103.491013,20.627245,-103.440285,0.015821,0.050728,91
zap,Santa Ana Tepetitlán,bbox_quadrant,20.61538,-103.452967,20.611425,-103.491013,20.627245,-103.440285,0.015821,0.050728,91
zap,Santa Ana Tepetitlán,bbox_quadrant,20.62329,-103.478331,20.611425,-103.491013,20.627245,-103.440285,0.015821,0.050728,91
zap,Santa Ana Tepetitlán,bbox_quadrant,20.62329,-103.452967,20.611425,-103.491013,20.627245,-103.440285,0.015821,0.050728,91
zap,Jocotán,centroid,20.687896,-103.440945,20.682749,-103.446209,20.690825,-103.435785,0.008076,0.010424,44
zap,Vallarta Universidad,centroid,20.688338,-103.426618,20.685923,-103.429068,20.690608,-103.42478,0.004685,0.004288,38
zap,Jardines del Sol,centroid,20.650105,-103.414388,20.642055,-103.418248,20.652622,-103.409844,0.010567,0.008404,16
zap,Villa Universitaria,centroid,20.694237,-103.412299,20.690099,-103.419624,20.700473,-103.409594,0.010375,0.010029,56
zap,Real del Bosque,centroid,20.745419,-103.398527,20.715139,-103.411719,20.755395,-103.392486,0.040256,0.019233,13
zap,Real del Bosque,bbox_quadrant,20.725203,-103.406911,20.715139,-103.411719,20.755395,-103.392486,0.040256,0.019233,13
zap,Real del Bosque,bbox_quadrant,20.725203,-103.397294,20.715139,-103.411719,20.755395,-103.392486,0.040256,0.019233,13
zap,Real del Bosque,bbox_quadrant,20.745331,-103.406911,20.715139,-103.411719,20.755395,-103.392486,0.040256,0.019233,13
zap,Real del Bosque,bbox_quadrant,20.745331,-103.397294,20.715139,-103.411719,20.755395,-103.392486,0.040256,0.019233,13
zap,Virreyes,centroid,20.694573,-103.439044,20.692499,-103.442057,20.696795,-103.435978,0.004297,0.006079,42
zap,Canteras del Centinela,centroid,20.764163,-103.384781,20.764147,-103.38629,20.764197,-103.384027,5e-05,0.002263,3
zap,Soare II Coto2,centroid,20.73219,-103.471729,20.73008,-103.472746,20.733798,-103.471132,0.003718,0.001614,57
zap,Alcázar Oriente,centroid,20.695978,-103.426184,20.694961,-103.426409,20.696196,-103.425989,0.001235,0.00042,14
zap,Madeiras,centroid,20.774673,-103.426916,20.773591,-103.428234,20.776017,-103.425786,0.002426,0.002447,31
zap,Villas de Otero,centroid,20.627028,-103.463493,20.626373,-103.463809,20.627355,-103.46286,0.000982,0.000949,3
zap,La Estancia,centroid,20.670294,-103.430086,20.667462,-103.434893,20.674659,-103.425609,0.007197,0.009284,28
zap,Campo Real,centroid,20.790469,-103.443304,20.786565,-103.446244,20.791874,-103.441219,0.005308,0.005025,19
zap,La Giralda,centroid,20.643325,-103.406533,20.641264,-103.409937,20.643843,-103.402929,0.002579,0.007008,22
zap,Ayamonte,centroid,20.674121,-103.465844,20.670925,-103.469696,20.678069,-103.463617,0.007144,0.006079,56
zap,Paseos del Parque,centroid,20.669318,-103.445078,20.668981,-103.446441,20.669499,-103.444818,0.000518,0.001623,12
zap,Del Fresno,centroid,20.763421,-103.449225,20.763421,-103.449225,20.763421,-103.449225,0.0,0.0,1
zap,Lomas Altas,centroid,20.685394,-103.411155,20.682341,-103.414191,20.687571,-103.408552,0.00523,0.00564,29
zap,La Venta del Astillero,centroid,20.728383,-103.542288,20.721045,-103.552234,20.732531,-103.537364,0.011485,0.01487,24
zap,Puerta Las Lomas,centroid,20.705452,-103.436635,20.703443,-103.437897,20.707306,-103.435411,0.003863,0.002487,133
zap,Las Alamedas,centroid,20.635861,-103.436185,20.634632,-103.437281,20.637214,-103.433989,0.002582,0.003292,10
zap,Chapalita de Occidente,centroid,20.660047,-103.425369,20.656672,-103.42605,20.661719,-103.424373,0.005047,0.001677,17
zap,Viveros del Valle,centroid,20.748213,-103.43573,20.746912,-103.437465,20.74952,-103.434052,0.002608,0.003413,12
zap,Coto Galarza,centroid,20.787975,-103.407205,20.787232,-103.408001,20.789472,-103.406529,0.00224,0.001472,35
zap,Loma Chica,centroid,20.808966,-103.486559,20.808751,-103.486585,20.809396,-103.486507,0.000645,7.7e-05,3
zap,Fontee,centroid,20.727684,-103.469187,20.727374,-103.471022,20.728285,-103.468498,0.000911,0.002524,32
zap,Bosque de Las Lomas,centroid,20.698394,-103.426745,20.697213,-103.427998,20.698628,-103.426574,0.001415,0.001424,18
zap,Altamira,centroid,20.71245,-103.388693,20.711128,-103.392032,20.714081,-103.384934,0.002953,0.007099,15
zap,Puerta Aqua,centroid,20.701789,-103.424162,20.696994,-103.426219,20.703737,-103.422848,0.006743,0.003371,10
zap,Bosques Vallarta,centroid,20.719746,-103.47597,20.71692,-103.47952,20.721963,-103.472319,0.005044,0.007201,156
zap,Puerta del Bosque,centroid,20.702025,-103.418905,20.700193,-103.421603,20.70338,-103.417519,0.003186,0.004084,40
